Document_Number,Line_Item,Company_Code,Fiscal_Year,Posting_Month,Posting_Date,Document_Date,SAP_GL_Account,SAP_Account_Name,SAP_Cost_Center,Property_ID,Vendor,Customer_or_Tenant,Document_Type,Journal_Source,Debit_Credit,Amount_Local,Signed_Amount,Currency,Text,Close_Risk_Flag,Created_By
5100000044,1,3000,2026,2026-01,2026-01-12,2026-01-02,570000,Marketing leasing campaigns,CC-11-WES,P-021,CloudSuite SE,,KR,Manual Journal,S,8905.58,-8905.58,GBP,Monthly posting,,AP_BOT
5100000045,1,2100,2026,2026-01,2026-02-01,2026-01-27,560000,Travel and meetings,CC-06-AME,P-047,LegalTrust LLP,,WE,AP Invoice,S,6154.48,-6154.48,EUR,Lease adjustment,Late posting,SAP_BATCH
5100000046,2,2100,2026,2026-01,2026-01-24,2026-01-20,560000,Travel and meetings,CC-06-AME,P-047,GreenHeat Utilities,,AA,Manual Journal,S,5519.7,-5519.7,EUR,Accrual reversal,,AP_BOT
5100000047,3,2100,2026,2026-01,2026-01-14,2026-01-05,560000,Travel and meetings,CC-06-AME,P-047,EnergiaPlus,,WE,AP Invoice,S,4684.92,-4684.92,EUR,Vendor invoice,,AP_BOT
5100000048,4,2100,2026,2026-01,2026-02-04,2026-02-02,560000,Travel and meetings,CC-06-AME,P-047,SecureWorks Facilities,,AA,SAP FI,S,5091.33,-5091.33,EUR,Lease adjustment,Late posting,AP_BOT
5100000049,1,1200,2026,2026-03,2026-04-02,2026-03-24,580000,Bad debt expense,CC-01-APA,P-039,NorthBuild Contractors,,RE,SAP FI,S,6435.49,-6435.49,EUR,Quarterly allocation,Late posting,LCHEN
5100000050,2,1200,2026,2026-03,2026-04-01,2026-03-22,580000,Bad debt expense,CC-01-APA,P-039,EnergiaPlus,,KR,Depreciation Run,S,6931.93,-6931.93,EUR,Vendor invoice,Late posting,JSMITH
5100000051,3,1200,2026,2026-03,2026-04-02,2026-03-24,580000,Bad debt expense,CC-01-APA,P-039,NorthBuild Contractors,,FX,Accrual Engine,S,7363.28,-7363.28,EUR,Quarterly allocation,Late posting,JSMITH
5100000052,4,1200,2026,2026-03,2026-03-14,2026-03-13,580000,Bad debt expense,CC-01-APA,P-039,CloudSuite SE,,SA,AP Invoice,S,8894.69,-8894.69,EUR,Quarterly allocation,,LCHEN
5100000053,1,2000,2026,2026-02,2026-03-05,2026-03-02,590000,Other operating expense,CC-05-AME,P-055,LegalTrust LLP,,SA,Accrual Engine,S,37605.7,-37605.7,EUR,Late invoice capture,Late posting,LCHEN
5100000054,2,2000,2026,2026-02,2026-02-07,2026-02-04,590000,Other operating expense,CC-05-AME,P-055,GreenHeat Utilities,,RE,AP Invoice,S,36207.45,-36207.45,EUR,Manual reclass,,AP_BOT
5100000055,3,2000,2026,2026-02,2026-03-03,2026-02-24,590000,Other operating expense,CC-05-AME,P-055,WaterWorks City,,RE,AP Invoice,S,35588.28,-35588.28,EUR,Lease adjustment,Late posting,AP_BOT
5100000056,1,5000,2026,2026-02,2026-02-12,2026-02-02,700000,Interest expense,CC-03-WES,P-068,RentAdjust Consulting,,RE,SAP FI,S,11901.57,-11901.57,SGD,Manual reclass,,LCHEN
5100000057,2,5000,2026,2026-02,2026-02-26,2026-02-20,700000,Interest expense,CC-03-WES,P-068,LiftPro Services,,WE,AP Invoice,S,14784.68,-14784.68,SGD,Monthly posting,,JSMITH
5100000058,3,5000,2026,2026-02,2026-02-10,2026-02-09,700000,Interest expense,CC-03-WES,P-068,GreenHeat Utilities,,AA,SAP CO Allocation,S,13550.17,-13550.17,SGD,Monthly posting,,JSMITH
5100000059,1,1100,2026,2026-04,2026-04-08,2026-03-31,512000,Security services,CC-04-WES,P-052,WaterWorks City,,KR,Depreciation Run,S,62743.57,-62743.57,EUR,Quarterly allocation,,MBECKER
5100000060,2,1100,2026,2026-04,2026-04-06,2026-04-06,512000,Security services,CC-04-WES,P-052,RentAdjust Consulting,,RE,SAP CO Allocation,S,63044.84,-63044.84,EUR,Monthly posting,,AP_BOT
5100000061,3,1100,2026,2026-04,2026-04-13,2026-04-06,512000,Security services,CC-04-WES,P-052,SecureWorks Facilities,,SA,SAP FI,S,72892.24,-72892.24,EUR,Accrual reversal,,JSMITH
5100000062,4,1100,2026,2026-04,2026-04-12,2026-04-05,512000,Security services,CC-04-WES,P-052,SecureWorks Facilities,,AB,Accrual Engine,S,57308.98,-57308.98,EUR,Lease adjustment,,CONTROLLING
5100000063,1,1200,2026,2026-05,2026-05-16,2026-05-16,401000,Parking income,CC-10-APA,P-051,,Tenant B,AB,AP Invoice,H,161188.41,161188.41,EUR,Quarterly allocation,,CONTROLLING
5100000064,2,1200,2026,2026-05,2026-05-25,2026-05-15,401000,Parking income,CC-10-APA,P-051,,Tenant A,RE,Manual Journal,H,158711.44,158711.44,EUR,Late invoice capture,Manual high value,SAP_BATCH
5100000065,3,1200,2026,2026-05,2026-05-27,2026-05-19,401000,Parking income,CC-10-APA,P-051,,Retail Tenant,WE,AP Invoice,H,156337.92,156337.92,EUR,Vendor invoice,,JSMITH
5100000066,1,1100,2026,2026-02,2026-02-23,2026-02-19,401000,Parking income,CC-03-WES,P-058,,Tenant A,WE,SAP RE-FX,H,74211.31,74211.31,EUR,Accrual reversal,,LCHEN
5100000067,2,1100,2026,2026-02,2026-02-19,2026-02-09,401000,Parking income,CC-03-WES,P-058,,Logistics Tenant,AA,SAP FI,H,85462.25,85462.25,EUR,Vendor invoice,,MBECKER
5100000068,3,1100,2026,2026-02,2026-02-06,2026-02-04,401000,Parking income,CC-03-WES,P-058,,Logistics Tenant,RE,SAP CO Allocation,H,65937.03,65937.03,EUR,Utility true-up,,AP_BOT
5100000069,4,1100,2026,2026-02,2026-02-15,2026-02-12,401000,Parking income,CC-03-WES,P-058,,Tenant C,AA,AP Invoice,H,63317.73,63317.73,EUR,Lease adjustment,,JSMITH
5100000070,1,2100,2026,2026-01,2026-01-07,2025-12-30,510000,Repairs and maintenance,CC-04-UK,P-070,CloudSuite SE,,RE,AP Invoice,S,21523.92,-21523.92,EUR,Monthly posting,,JSMITH
5100000071,2,2100,2026,2026-01,2026-01-15,2026-01-12,510000,Repairs and maintenance,CC-04-UK,P-070,GreenHeat Utilities,,AA,SAP FI,S,16698.46,-16698.46,EUR,Manual reclass,,CONTROLLING
5100000072,1,3000,2026,2026-04,2026-04-20,2026-04-14,520000,Insurance,CC-08-WES,P-034,WaterWorks City,,AB,SAP CO Allocation,S,51527.24,-51527.24,GBP,Lease adjustment,,SAP_BATCH
5100000073,1,1000,2026,2026-02,2026-03-04,2026-03-02,512000,Security services,CC-07-AME,P-061,SecureWorks Facilities,,AB,Manual Journal,S,126691.99,-126691.99,EUR,Lease adjustment,Manual high value,JSMITH
5100000074,2,1000,2026,2026-02,2026-02-04,2026-01-30,512000,Security services,CC-07-AME,P-061,LegalTrust LLP,,SA,SAP FI,S,157391.77,-157391.77,EUR,Vendor invoice,,MBECKER
5100000075,1,5000,2026,2026-04,2026-05-05,2026-04-27,510000,Repairs and maintenance,CC-02-APA,P-019,CloudSuite SE,,AA,SAP RE-FX,S,12299.58,-12299.58,SGD,Quarterly allocation,Late posting,SAP_BATCH
5100000076,2,5000,2026,2026-04,2026-04-10,2026-03-31,510000,Repairs and maintenance,CC-02-APA,P-019,NorthBuild Contractors,,WE,AP Invoice,S,11492.06,-11492.06,SGD,Monthly posting,,MBECKER
5100000077,3,5000,2026,2026-04,2026-04-15,2026-04-06,510000,Repairs and maintenance,CC-02-APA,P-019,WaterWorks City,,SA,AP Invoice,S,11016.88,-11016.88,SGD,Accrual reversal,,LCHEN
5100000078,4,5000,2026,2026-04,2026-04-26,2026-04-25,510000,Repairs and maintenance,CC-02-APA,P-019,EnergiaPlus,,WE,AP Invoice,S,9991.47,-9991.47,SGD,Late invoice capture,,MBECKER
5100000079,1,1000,2026,2026-04,2026-04-12,2026-04-11,570000,Marketing leasing campaigns,CC-03-UK,P-029,WaterWorks City,,FX,AP Invoice,S,22590.89,-22590.89,EUR,Utility true-up,,JSMITH
5100000080,2,1000,2026,2026-04,2026-04-11,2026-04-03,570000,Marketing leasing campaigns,CC-03-UK,P-029,LiftPro Services,,FX,SAP FI,S,25557.59,-25557.59,EUR,Manual reclass,,MBECKER
5100000081,3,1000,2026,2026-04,2026-05-03,2026-04-28,570000,Marketing leasing campaigns,CC-03-UK,P-029,SecureWorks Facilities,,AA,Accrual Engine,S,23212.15,-23212.15,EUR,Utility true-up,Late posting,SAP_BATCH
5100000082,4,1000,2026,2026-04,2026-04-02,2026-03-28,570000,Marketing leasing campaigns,CC-03-UK,P-029,LeaseOps Services,,RE,SAP FI,S,25343.78,-25343.78,EUR,Utility true-up,,AP_BOT
5100000083,1,2100,2026,2026-01,2026-01-14,2026-01-14,401000,Parking income,CC-08-APA,P-059,,Tenant C,SA,Accrual Engine,H,382664.13,382664.13,EUR,Quarterly allocation,,CONTROLLING
5100000084,2,2100,2026,2026-01,2026-01-20,2026-01-15,401000,Parking income,CC-08-APA,P-059,,Logistics Tenant,WE,Depreciation Run,H,257891.97,257891.97,EUR,Manual reclass,,JSMITH
5100000085,3,2100,2026,2026-01,2026-01-22,2026-01-14,401000,Parking income,CC-08-APA,P-059,,Anchor Tenant,WE,SAP FI,H,366309.69,366309.69,EUR,Lease adjustment,,JSMITH
5100000086,4,2100,2026,2026-01,2026-01-08,2026-01-07,401000,Parking income,CC-08-APA,P-059,,Tenant A,RE,Accrual Engine,H,330066.81,330066.81,EUR,Lease adjustment,,JSMITH
5100000087,1,3000,2026,2026-03,2026-03-18,2026-03-13,610000,Amortization lease incentives,CC-01-AME,P-048,LiftPro Services,,AB,SAP FI,S,51485.41,-51485.41,GBP,Monthly posting,,LCHEN
5100000088,1,2100,2026,2026-03,2026-03-31,2026-03-22,800000,Income tax expense,CC-11-WES,P-049,LeaseOps Services,,RE,SAP FI,S,7747.01,-7747.01,EUR,Accrual reversal,,SAP_BATCH
5100000089,1,2100,2026,2026-03,2026-03-26,2026-03-19,511000,Utilities electricity,CC-05-AME,P-049,CloudSuite SE,,WE,SAP FI,S,18897.17,-18897.17,EUR,Late invoice capture,,AP_BOT
5100000090,2,2100,2026,2026-03,2026-03-17,2026-03-10,511000,Utilities electricity,CC-05-AME,P-049,NorthBuild Contractors,,AA,Accrual Engine,S,14944.52,-14944.52,EUR,Vendor invoice,,AP_BOT
5100000091,3,2100,2026,2026-03,2026-03-16,2026-03-12,511000,Utilities electricity,CC-05-AME,P-049,UrbanClean GmbH,,WE,Depreciation Run,S,19723.67,-19723.67,EUR,Late invoice capture,,SAP_BATCH
5100000092,4,2100,2026,2026-03,2026-03-22,2026-03-20,511000,Utilities electricity,CC-05-AME,P-049,EnergiaPlus,,WE,SAP FI,S,18138.78,-18138.78,EUR,Utility true-up,,SAP_BATCH
5100000093,1,1100,2026,2026-02,2026-03-06,2026-03-06,540000,Professional services,CC-09-APA,P-026,LiftPro Services,,SA,SAP FI,S,83077.81,-83077.81,EUR,Accrual reversal,Late posting,SAP_BATCH
5100000094,1,2100,2026,2026-04,2026-05-04,2026-05-04,550000,IT software and licenses,CC-09-UK,P-006,GreenHeat Utilities,,KR,SAP RE-FX,S,60214.5,-60214.5,EUR,Quarterly allocation,Late posting,LCHEN
5100000095,2,2100,2026,2026-04,2026-04-11,2026-04-10,550000,IT software and licenses,CC-09-UK,P-006,LeaseOps Services,,AB,AP Invoice,S,58679.2,-58679.2,EUR,Quarterly allocation,,MBECKER
5100000096,3,2100,2026,2026-04,2026-04-04,2026-03-30,550000,IT software and licenses,CC-09-UK,P-006,LegalTrust LLP,,FX,SAP FI,S,53407.69,-53407.69,EUR,Utility true-up,,JSMITH
5100000097,4,2100,2026,2026-04,2026-04-02,2026-03-23,550000,IT software and licenses,CC-09-UK,P-006,LegalTrust LLP,,AB,SAP RE-FX,S,46193.09,-46193.09,EUR,Manual reclass,,AP_BOT
5100000098,1,4000,2026,2026-02,2026-03-07,2026-03-03,400100,Rental income,CC-10-AME,P-003,,Tenant A,SA,Accrual Engine,H,712300.53,712300.53,USD,Utility true-up,Late posting,SAP_BATCH
5100000099,2,4000,2026,2026-02,2026-02-01,2026-01-30,400100,Rental income,CC-10-AME,P-003,,Anchor Tenant,KR,AP Invoice,H,628806.83,628806.83,USD,Monthly posting,,CONTROLLING
5100000100,1,1100,2026,2026-02,2026-02-12,2026-02-11,500100,Property management fees,CC-03-AME,P-053,GreenHeat Utilities,,RE,SAP FI,S,56062.66,-56062.66,EUR,Vendor invoice,,CONTROLLING
5100000101,2,1100,2026,2026-02,2026-02-16,2026-02-10,500100,Property management fees,CC-03-AME,P-053,WaterWorks City,,FX,SAP FI,S,53181.54,-53181.54,EUR,Monthly posting,,LCHEN
5100000102,1,1000,2026,2026-01,2026-01-09,2026-01-04,700000,Interest expense,CC-03-AME,P-031,UrbanClean GmbH,,WE,SAP FI,S,8897.42,-8897.42,EUR,Manual reclass,,CONTROLLING
5100000103,2,1000,2026,2026-01,2026-01-04,2026-01-01,700000,Interest expense,CC-03-AME,P-031,NorthBuild Contractors,,SA,Accrual Engine,S,7198.24,-7198.24,EUR,Lease adjustment,,SAP_BATCH
5100000104,3,1000,2026,2026-01,2026-01-25,2026-01-21,700000,Interest expense,CC-03-AME,P-031,LeaseOps Services,,RE,Depreciation Run,S,7358.77,-7358.77,EUR,Manual reclass,,MBECKER
5100000105,1,2100,2026,2026-05,2026-05-28,2026-05-19,610000,Amortization lease incentives,CC-11-AME,P-070,WaterWorks City,,WE,SAP CO Allocation,S,3040.98,-3040.98,EUR,Monthly posting,,SAP_BATCH
5100000106,2,2100,2026,2026-05,2026-05-12,2026-05-11,610000,Amortization lease incentives,CC-11-AME,P-070,LegalTrust LLP,,SA,SAP CO Allocation,S,3408.98,-3408.98,EUR,Manual reclass,,JSMITH
5100000107,3,2100,2026,2026-05,2026-05-19,2026-05-17,610000,Amortization lease incentives,CC-11-AME,P-070,LeaseOps Services,,KR,SAP FI,S,2858.08,-2858.08,EUR,Vendor invoice,,JSMITH
5100000108,4,2100,2026,2026-05,2026-05-08,2026-05-01,610000,Amortization lease incentives,CC-11-AME,P-070,GreenHeat Utilities,,WE,AP Invoice,S,3609.0,-3609.0,EUR,Late invoice capture,,LCHEN
5100000109,1,5000,2026,2026-04,2026-04-18,2026-04-18,511000,Utilities electricity,CC-09-WES,P-019,LiftPro Services,,FX,SAP FI,S,71046.91,-71046.91,SGD,Vendor invoice,,JSMITH
5100000110,2,5000,2026,2026-04,2026-04-24,2026-04-17,511000,Utilities electricity,CC-09-WES,P-019,LiftPro Services,,RE,Accrual Engine,S,94668.69,-94668.69,SGD,Accrual reversal,,MBECKER
5100000111,3,5000,2026,2026-04,2026-04-27,2026-04-23,511000,Utilities electricity,CC-09-WES,P-019,LeaseOps Services,,WE,SAP RE-FX,S,79977.83,-79977.83,SGD,Utility true-up,,JSMITH
5100000112,1,3000,2026,2026-02,2026-02-10,2026-02-01,550000,IT software and licenses,CC-09-AME,P-057,LegalTrust LLP,,SA,AP Invoice,S,86984.02,-86984.02,GBP,Manual reclass,,JSMITH
5100000113,2,3000,2026,2026-02,2026-02-16,2026-02-09,550000,IT software and licenses,CC-09-AME,P-057,EnergiaPlus,,SA,AP Invoice,S,69372.71,-69372.71,GBP,Manual reclass,,MBECKER
5100000114,3,3000,2026,2026-02,2026-02-21,2026-02-19,550000,IT software and licenses,CC-09-AME,P-057,LegalTrust LLP,,FX,SAP FI,S,77572.91,-77572.91,GBP,Vendor invoice,,LCHEN
5100000115,4,3000,2026,2026-02,2026-02-20,2026-02-10,550000,IT software and licenses,CC-09-AME,P-057,LeaseOps Services,,KR,Accrual Engine,S,83666.35,-83666.35,GBP,Accrual reversal,,MBECKER
5100000116,1,2100,2026,2026-03,2026-03-15,2026-03-09,570000,Marketing leasing campaigns,CC-11-DAC,P-035,LiftPro Services,,WE,SAP RE-FX,S,104418.35,-104418.35,EUR,Late invoice capture,,MBECKER
5100000117,1,1100,2026,2026-04,2026-04-02,2026-04-01,600000,Depreciation buildings,CC-06-DAC,P-038,GreenHeat Utilities,,WE,SAP FI,S,28668.2,-28668.2,EUR,Quarterly allocation,,SAP_BATCH
5100000118,2,1100,2026,2026-04,2026-04-21,2026-04-21,600000,Depreciation buildings,CC-06-DAC,P-038,LeaseOps Services,,AB,SAP FI,S,23829.53,-23829.53,EUR,Monthly posting,,CONTROLLING
5100000119,3,1100,2026,2026-04,2026-04-28,2026-04-26,600000,Depreciation buildings,CC-06-DAC,P-038,GreenHeat Utilities,,WE,Payroll Upload,S,28974.34,-28974.34,EUR,Manual reclass,,AP_BOT
5100000120,1,2100,2026,2026-04,2026-04-05,2026-04-05,511000,Utilities electricity,CC-01-APA,P-059,WaterWorks City,,FX,Accrual Engine,S,62732.24,-62732.24,EUR,Manual reclass,,SAP_BATCH
5100000121,2,2100,2026,2026-04,2026-04-27,2026-04-22,511000,Utilities electricity,CC-01-APA,P-059,TaxAdvisors Global,,SA,AP Invoice,S,70280.0,-70280.0,EUR,Manual reclass,,CONTROLLING
5100000122,3,2100,2026,2026-04,2026-04-22,2026-04-12,511000,Utilities electricity,CC-01-APA,P-059,UrbanClean GmbH,,KR,SAP CO Allocation,S,67443.58,-67443.58,EUR,Vendor invoice,,LCHEN
5100000123,1,4000,2026,2026-03,2026-03-09,2026-03-04,150000,Capex projects WIP,CC-06-DAC,P-062,GreenHeat Utilities,,AA,Manual Journal,S,2211.18,2211.18,USD,Vendor invoice,,LCHEN
5100000124,1,2000,2026,2026-05,2026-06-02,2026-05-31,400100,Rental income,CC-10-WES,P-050,,Tenant C,KR,Accrual Engine,H,63631.21,63631.21,EUR,Monthly posting,Late posting,AP_BOT
5100000125,2,2000,2026,2026-05,2026-05-31,2026-05-22,400100,Rental income,CC-10-WES,P-050,,Anchor Tenant,SA,SAP CO Allocation,H,57144.15,57144.15,EUR,Quarterly allocation,,SAP_BATCH
5100000126,3,2000,2026,2026-05,2026-05-05,2026-05-03,400100,Rental income,CC-10-WES,P-050,,Logistics Tenant,SA,AP Invoice,H,51199.13,51199.13,EUR,Monthly posting,,LCHEN
5100000127,1,5000,2026,2026-05,2026-05-10,2026-05-07,550000,IT software and licenses,CC-07-AME,P-005,EnergiaPlus,,AA,Manual Journal,S,84885.73,-84885.73,SGD,Accrual reversal,Manual high value,JSMITH
